Date,Close,EMA30,SMA30,SMA60,SMA200
2013-11-20,4350.786133,4435.0227762484,4470.6479818,4388.0460425082,4654.6163745482
2013-11-21,4326.205078,4428.0022795873,4469.0228516,4390.6096151312,4654.1558063553
2013-11-22,4317.959961,4420.9027751623,4465.2046224333,4393.843894082,4653.5412387208
2013-11-25,4334.803223,4415.3479653453,4461.1167969333,4399.8596511639,4652.9413814873
2013-11-26,4235.26123,4403.7294662908,4452.7362305,4403.2823746394,4651.8325393807
2013-11-27,4251.48877,4393.907485885,4443.7887858667,4405.7068991803,4650.6642905533
2013-11-28,4233.924805,4383.5860226021,4435.1775717,4406.3435539016,4649.3615487462
2013-11-29,4256.436035,4375.3827975955,4426.427767,4408.8878674262,4648.229544264
2013-12-02,4321.977051,4371.9372655571,4418.9413086667,4411.4774550328,4647.331072066
2013-12-03,4288.76416,4366.5712587469,4409.2941732333,4415.0071121148,4646.2428294822
2013-12-04,4241.301758,4358.4893554729,4400.2461263667,4418.1290423443,4644.9739699289
2013-12-05,4216.894043,4349.3541740231,4389.2592937,4420.4985511803,4643.520401264
2013-12-06,4180.788086,4338.4789425377,4375.4573894,4420.3269163115,4641.6551470609
2013-12-09,4214.341797,4330.4700944385,4363.2405762667,4417.969518459,4639.8418167361
2013-12-10,4275.678223,4326.9351349909,4352.7452475,4416.7606541639,4638.0026066667
2013-12-11,4271.743164,4323.3743626689,4343.0443523,4415.3694768525,4636.2953189445
2013-12-12,4212.217773,4316.202969787,4330.9556804,4412.6920786557,4634.2759652475
2013-12-13,4174.830078,4307.0821380588,4319.7623210333,4406.9968541967,4631.992328096
2013-12-16,4125.956055,4295.3965843131,4309.5412273,4400.5761318689,4629.4241709394
2013-12-17,4182.346191,4288.1030105509,4301.5098308,4395.9710873607,4627.1511526667
2013-12-18,4196.282227,4282.1790890315,4293.0605795,4388.1932073115,4624.8539768081
2013-12-19,4231.97998,4278.9404368359,4284.5896159333,4382.4252049344,4622.5099012828
2013-12-20,4195.556152,4273.5608055562,4275.2174805,4376.4038806394,4620.148918404
